lon,lat
28.500001,76.8625
28.500001,76.875
28.500001,76.8875
28.500001,76.9
28.500001,76.9125
28.500001,76.925
28.500001,76.9375
28.500001,76.95
28.500001,76.9625
28.500001,76.975
28.500001,76.9875
28.500001,77.0
28.500001,77.0125
28.500001,77.025
28.500001,77.0375
28.500001,77.05
28.500001,77.0625
28.500001,77.075
28.500001,77.0875
28.500001,77.1
28.500001,77.1125
28.500001,77.125
28.500001,77.1375
28.500001,77.15
28.500001,77.1625
28.500001,77.175
28.500001,77.1875
28.500001,77.2
28.500001,77.2125
28.500001,77.225
28.500001,77.2375
28.500001,77.25
28.512501,76.85
28.512501,76.8625
28.512501,76.875
28.512501,76.8875
28.512501,76.9
28.512501,76.9125
28.512501,76.925
28.512501,76.9375
28.512501,76.95
28.512501,76.9625
28.512501,76.975
28.512501,76.9875
28.512501,77.0
28.512501,77.0125
28.512501,77.025
28.512501,77.0375
28.512501,77.05
28.512501,77.0625
28.512501,77.075
28.512501,77.0875
28.512501,77.1
28.512501,77.1125
28.512501,77.125
28.512501,77.1375
28.512501,77.15
28.512501,77.1625
28.512501,77.175
28.512501,77.1875
28.512501,77.2
28.512501,77.2125
28.512501,77.225
28.512501,77.2375
28.512501,77.25
28.525001,76.85
28.525001,76.8625
28.525001,76.875
28.525001,76.8875
28.525001,76.9
28.525001,76.9125
28.525001,76.925
28.525001,76.9375
28.525001,76.95
28.525001,76.9625
28.525001,76.975
28.525001,76.9875
28.525001,77.0
28.525001,77.0125
28.525001,77.025
28.525001,77.0375
28.525001,77.05
28.525001,77.0625
28.525001,77.075
28.525001,77.0875
28.525001,77.1
28.525001,77.1125
28.525001,77.125
28.525001,77.1375
28.525001,77.15
28.525001,77.1625
28.525001,77.175
28.525001,77.1875
28.525001,77.2
28.525001,77.2125
28.525001,77.225
28.525001,77.2375
28.525001,77.25
28.537501,76.85
28.537501,76.8625
28.537501,76.875
28.537501,76.8875
28.537501,76.9
28.537501,76.9125
28.537501,76.925
28.537501,76.9375
28.537501,76.95
28.537501,76.9625
28.537501,76.975
28.537501,76.9875
28.537501,77.0
28.537501,77.0125
28.537501,77.025
28.537501,77.0375
28.537501,77.05
28.537501,77.0625
28.537501,77.075
28.537501,77.0875
28.537501,77.1
28.537501,77.1125
28.537501,77.125
28.537501,77.1375
28.537501,77.15
28.537501,77.1625
28.537501,77.175
28.537501,77.1875
28.537501,77.2
28.537501,77.2125
28.537501,77.225
28.537501,77.2375
28.537501,77.25
28.550001,76.85
28.550001,76.8625
28.550001,76.875
28.550001,76.8875
28.550001,76.9
28.550001,76.9125
28.550001,76.925
28.550001,76.9375
28.550001,76.95
28.550001,76.9625
28.550001,76.975
28.550001,76.9875
28.550001,77.0
28.550001,77.0125
28.550001,77.025
28.550001,77.0375
28.550001,77.05
28.550001,77.0625
28.550001,77.075
28.550001,77.0875
